sensor_frame_index,sensor_timestamp,actual_exposure_us,requested_exposure_us,analogue_gain,stream,output_frame_index,pts_ms,elapsed_ms,frame_unix_ms,recording_start_iso8601,frame_time_iso8601,mean_luma
128,14910855235000,994.0,1000,1.00,B,48,2097.899,2097.899,1789131958388.525,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.388525+04:00,15.8
129,14910869128000,994.0,1000,1.00,B,49,2111.792,2111.792,1789131958402.418,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.402418+04:00,15.8
130,14910883020000,994.0,1000,1.00,B,50,2125.684,2125.684,1789131958416.310,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.416310+04:00,15.9
131,14910896915000,9992.0,10000,1.00,A,51,2139.579,2139.579,1789131958430.205,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.430205+04:00,85.1
132,14910910807000,9992.0,10000,1.00,A,52,2153.471,2153.471,1789131958444.097,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.444097+04:00,85.3
133,14910924700000,9992.0,10000,1.00,A,53,2167.364,2167.364,1789131958457.990,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.457990+04:00,85.4
134,14910938595000,994.0,1000,1.00,B,51,2181.259,2181.259,1789131958471.885,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.471885+04:00,16.0
135,14910952487000,994.0,1000,1.00,B,52,2195.151,2195.151,1789131958485.777,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.485777+04:00,16.0
136,14910966382000,994.0,1000,1.00,B,53,2209.046,2209.046,1789131958499.672,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.499672+04:00,16.0
137,14910980276000,9992.0,10000,1.00,A,54,2222.940,2222.940,1789131958513.566,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:58.513566+04:00,85.4
